gene_symbol	Control1	Control2	Control3	Control4	Diseased1	Diseased2	Diseased3	Diseased4
TSPAN6	36	32	51	10	221	223	119	280
TNMD	40	10	20	1	1389	190	666	474
DPM1	16	11	23	0	136	86	69	168
SCYL3	29	32	68	11	203	165	79	280
C1orf112	4	13	24	4	7	45	23	65
FGR	7	17	18	9	79	34	16	42
CFH	2162	1001	1898	61	7880	8584	3792	13709
FUCA2	26	27	62	8	390	167	135	106
GCLC	29	25	69	23	166	112	119	202
NFYA	70	102	133	33	309	310	203	520
STPG1	34	42	25	23	39	22	41	25
NIPAL3	38	50	68	34	150	185	130	365
LAS1L	80	112	152	17	461	463	367	762
ENPP4	22	14	37	10	65	207	57	246
SEMA3F	25	23	50	6	126	43	152	201
CFTR	11	13	11	15	5	136	1	45
ANKIB1	93	84	160	7	634	432	364	783
CYP51A1	37	27	86	10	304	187	154	381
KRIT1	64	62	120	12	655	466	261	771
RAD52	17	20	34	2	55	60	95	152
MYH16	8	5	5	2	1	0	6	0
BAD	28	21	37	4	257	158	119	186
LAP3	46	35	123	2	565	308	209	760
CD99	856	339	1010	4	4462	1619	2027	4050
HS3ST1	18	39	32	25	5	24	19	15
AOC1	2	7	2	1	0	4	4	2
WNT16	19	33	12	11	6	32	24	19
HECW1	63	61	51	47	107	52	141	46
MAD1L1	99	89	148	14	341	395	257	256
LASP1	177	169	409	22	1449	899	995	1501
SNX11	17	20	16	9	36	36	41	72
TMEM176A	27	21	18	15	27	46	50	86
M6PR	61	40	114	7	348	313	238	489
KLHL13	12	35	20	27	111	105	73	67
CYP26B1	43	51	72	14	153	160	236	292
ICA1	28	32	61	9	218	225	142	424
DBNDD1	11	17	4	9	0	2	9	13
ALS2	63	69	155	11	496	312	266	720
CASP10	41	60	122	23	403	281	230	781
CFLAR	477	467	1014	61	2845	1964	1532	5520
TFPI	100	216	360	51	745	1151	394	1900
NDUFAF7	14	21	48	7	155	107	96	285
RBM5	394	415	828	18	2641	2447	1421	3985
MTMR7	5	19	11	9	2	8	0	26
SLC7A2	109	185	341	18	1016	675	446	2503
ARF5	44	30	54	2	360	225	163	258
SARM1	118	94	135	46	317	159	271	478
POLDIP2	51	32	74	2	279	161	169	281
PLXND1	281	379	727	17	3141	1709	1302	2961
AK2	64	71	133	11	356	315	287	723
CD38	19	22	30	13	17	29	8	65
FKBP4	52	51	129	5	236	226	265	430
KDM1A	100	75	157	13	735	410	398	810
RBM6	208	213	421	16	1420	833	1063	1838
CAMKK1	114	63	201	22	279	150	260	278
RECQL	70	47	173	3	893	509	439	757
VPS50	34	33	67	17	210	237	102	306
HSPB6	79	41	170	1	480	733	100	719
ARHGAP33	36	36	53	8	188	83	80	78
NDUFAB1	25	11	42	3	250	192	71	203
PDK4	283	263	608	25	593	2272	383	3698
SLC22A16	10	7	6	18	6	0	12	0
ZMYND10	9	15	5	9	13	6	9	4
ABCB5	11	6	6	12	165	84	39	38
ARX	2	4	2	2	0	0	0	20
SLC25A13	15	22	58	2	207	116	140	202
ST7	26	22	54	8	169	110	73	166
CDC27	79	72	189	8	747	541	337	1005
SLC4A1	5	2	3	1	1	0	2	0
CALCR	10	25	14	16	0	11	3	0
HCCS	11	11	19	1	77	34	28	106
DVL2	42	47	69	12	215	105	147	207
PRSS22	0	1	1	3	0	0	1	5
UPF1	180	127	225	18	688	417	508	834
SKAP2	34	50	95	12	158	157	81	287
SLC25A5	35	18	93	0	340	290	208	413
CCDC109B	27	20	56	4	170	62	126	352
HOXA11	33	35	30	11	80	63	106	124
POLR2J	53	22	68	3	367	153	135	308
DHX33	27	27	46	5	171	73	96	204
MEOX1	148	97	305	6	798	175	485	1035
THSD7A	92	139	181	46	468	537	253	911
LIG3	99	108	149	49	299	268	259	399
RPAP3	54	47	83	7	309	181	169	315
ACSM3	24	38	24	38	10	5	33	2
AC004381.6	6	5	8	4	27	23	1	31
CIAPIN1	13	11	25	9	122	40	89	133
SPPL2B	70	96	107	10	381	263	220	450
FAM214B	21	40	39	17	140	44	77	102
COPZ2	45	13	55	1	252	143	193	325
PRKAR2B	19	22	122	3	284	807	56	784
MSL3	51	57	68	18	246	193	115	248
CREBBP	464	451	760	37	2261	1455	1801	3359
BZRAP1	120	145	110	21	216	297	321	452
MPO	3	3	4	3	3	3	12	0
GCFC2	22	30	39	4	104	98	54	240
WDR54	13	9	12	4	14	20	20	42
CROT	29	20	35	5	92	85	93	269
ABCB4	59	32	48	15	199	39	76	181
KMT2E	322	282	624	7	2616	1448	1417	3895
RHBDD2	32	19	49	3	193	82	86	150
SOX8	27	25	10	14	5	14	43	62
IBTK	135	89	237	23	1023	760	509	1216
ZNF195	15	23	37	6	118	75	45	195
MYCBP2	694	554	1208	17	3231	3294	2238	6740
FBXL3	130	122	318	32	828	732	718	1572
ITGAL	11	4	10	4	27	22	23	45
PDK2	36	45	51	5	194	152	172	303
ITGA3	68	79	183	16	566	219	289	666
ZFX	123	120	162	14	643	405	497	892
LAMP2	62	48	181	5	993	454	461	1055
ITGA2B	7	11	8	6	9	0	4	30
ASB4	1	1	1	11	2	3	5	0
GDE1	59	45	78	22	283	183	151	264
C19orf60	51	33	47	2	143	134	116	221
CRLF1	71	13	118	1	34	67	57	120
OSBPL7	13	26	35	5	111	37	60	90
TMEM98	51	41	55	11	423	248	231	349
