gene_id	Feldman_22_5-2-19	Feldman_23_5-2-19	Feldman_25_5-2-19	Feldman_26_5-2-19	Feldman_05_5-2-19	Feldman_12_5-2-19	Feldman_13_5-2-19	Feldman_16-LW_5-2-19
ENSG00000000003.14	36	32	51	10	221	223	119	280
ENSG00000000005.5	40	10	20	1	1389	190	666	474
ENSG00000000419.12	16	11	23	0	136	86	69	168
ENSG00000000457.13	29	32	68	11	203	165	79	280
ENSG00000000460.16	4	13	24	4	7	45	23	65
ENSG00000000938.12	7	17	18	9	79	34	16	42
ENSG00000000971.15	2162	1001	1898	61	7880	8584	3792	13709
ENSG00000001036.13	26	27	62	8	390	167	135	106
ENSG00000001084.11	29	25	69	23	166	112	119	202
ENSG00000001167.14	70	102	133	33	309	310	203	520
ENSG00000001460.17	34	42	25	23	39	22	41	25
ENSG00000001461.16	38	50	68	34	150	185	130	365
ENSG00000001497.16	80	112	152	17	461	463	367	762
ENSG00000001561.6	22	14	37	10	65	207	57	246
ENSG00000001617.11	25	23	50	6	126	43	152	201
ENSG00000001626.14	11	13	11	15	5	136	1	45
ENSG00000001629.9	93	84	160	7	634	432	364	783
ENSG00000001630.15	37	27	86	10	304	187	154	381
ENSG00000001631.15	64	62	120	12	655	466	261	771
ENSG00000002016.17	17	20	34	2	55	60	95	152
ENSG00000002079.14	8	5	5	2	1	0	6	0
ENSG00000002330.13	28	21	37	4	257	158	119	186
ENSG00000002549.12	46	35	123	2	565	308	209	760
ENSG00000002586.19	856	339	1010	4	4462	1619	2027	4050
ENSG00000002587.9	18	39	32	25	5	24	19	15
ENSG00000002726.20	2	7	2	1	0	4	4	2
ENSG00000002745.12	19	33	12	11	6	32	24	19
ENSG00000002746.14	63	61	51	47	107	52	141	46
ENSG00000002822.15	99	89	148	14	341	395	257	256
ENSG00000002834.17	177	169	409	22	1449	899	995	1501
ENSG00000002919.14	17	20	16	9	36	36	41	72
ENSG00000002933.7	27	21	18	15	27	46	50	86
ENSG00000003056.7	61	40	114	7	348	313	238	489
ENSG00000003096.14	12	35	20	27	111	105	73	67
ENSG00000003137.8	43	51	72	14	153	160	236	292
ENSG00000003147.17	28	32	61	9	218	225	142	424
ENSG00000003249.13	11	17	4	9	0	2	9	13
ENSG00000003393.14	63	69	155	11	496	312	266	720
ENSG00000003400.14	41	60	122	23	403	281	230	781
ENSG00000003402.19	477	467	1014	61	2845	1964	1532	5520
ENSG00000003436.15	100	216	360	51	745	1151	394	1900
ENSG00000003509.15	14	21	48	7	155	107	96	285
ENSG00000003756.16	394	415	828	18	2641	2447	1421	3985
ENSG00000003987.13	5	19	11	9	2	8	0	26
ENSG00000003989.17	109	185	341	18	1016	675	446	2503
ENSG00000004059.10	44	30	54	2	360	225	163	258
ENSG00000004139.13	118	94	135	46	317	159	271	478
ENSG00000004142.11	51	32	74	2	279	161	169	281
ENSG00000004399.12	281	379	727	17	3141	1709	1302	2961
ENSG00000004455.16	64	71	133	11	356	315	287	723
ENSG00000004468.12	19	22	30	13	17	29	8	65
ENSG00000004478.7	52	51	129	5	236	226	265	430
ENSG00000004487.16	100	75	157	13	735	410	398	810
ENSG00000004534.14	208	213	421	16	1420	833	1063	1838
ENSG00000004660.14	114	63	201	22	279	150	260	278
ENSG00000004700.15	70	47	173	3	893	509	439	757
ENSG00000004766.15	34	33	67	17	210	237	102	306
ENSG00000004776.12	79	41	170	1	480	733	100	719
ENSG00000004777.18	36	36	53	8	188	83	80	78
ENSG00000004779.9	25	11	42	3	250	192	71	203
ENSG00000004799.7	283	263	608	25	593	2272	383	3698
ENSG00000004809.13	10	7	6	18	6	0	12	0
ENSG00000004838.13	9	15	5	9	13	6	9	4
ENSG00000004846.16	11	6	6	12	165	84	39	38
ENSG00000004848.7	2	4	2	2	0	0	0	20
ENSG00000004864.13	15	22	58	2	207	116	140	202
ENSG00000004866.20	26	22	54	8	169	110	73	166
ENSG00000004897.11	79	72	189	8	747	541	337	1005
ENSG00000004939.14	5	2	3	1	1	0	2	0
ENSG00000004948.13	10	25	14	16	0	11	3	0
ENSG00000004961.14	11	11	19	1	77	34	28	106
ENSG00000004975.11	42	47	69	12	215	105	147	207
ENSG00000005001.9	0	1	1	3	0	0	1	5
ENSG00000005007.12	180	127	225	18	688	417	508	834
ENSG00000005020.12	34	50	95	12	158	157	81	287
ENSG00000005022.5	35	18	93	0	340	290	208	413
ENSG00000005059.15	27	20	56	4	170	62	126	352
ENSG00000005073.5	33	35	30	11	80	63	106	124
ENSG00000005075.15	53	22	68	3	367	153	135	308
ENSG00000005100.12	27	27	46	5	171	73	96	204
ENSG00000005102.12	148	97	305	6	798	175	485	1035
ENSG00000005108.15	92	139	181	46	468	537	253	911
ENSG00000005156.11	99	108	149	49	299	268	259	399
ENSG00000005175.9	54	47	83	7	309	181	169	315
ENSG00000005187.11	24	38	24	38	10	5	33	2
ENSG00000005189.19	6	5	8	4	27	23	1	31
ENSG00000005194.14	13	11	25	9	122	40	89	133
ENSG00000005206.16	70	96	107	10	381	263	220	450
ENSG00000005238.19	21	40	39	17	140	44	77	102
ENSG00000005243.9	45	13	55	1	252	143	193	325
ENSG00000005249.12	19	22	122	3	284	807	56	784
ENSG00000005302.17	51	57	68	18	246	193	115	248
ENSG00000005339.14	464	451	760	37	2261	1455	1801	3359
ENSG00000005379.15	120	145	110	21	216	297	321	452
ENSG00000005381.7	3	3	4	3	3	3	12	0
ENSG00000005436.13	22	30	39	4	104	98	54	240
ENSG00000005448.16	13	9	12	4	14	20	20	42
ENSG00000005469.11	29	20	35	5	92	85	93	269
ENSG00000005471.16	59	32	48	15	199	39	76	181
ENSG00000005483.20	322	282	624	7	2616	1448	1417	3895
ENSG00000005486.16	32	19	49	3	193	82	86	150
ENSG00000005513.9	27	25	10	14	5	14	43	62
ENSG00000005700.14	135	89	237	23	1023	760	509	1216
ENSG00000005801.16	15	23	37	6	118	75	45	195
ENSG00000005810.17	694	554	1208	17	3231	3294	2238	6740
ENSG00000005812.10	130	122	318	32	828	732	718	1572
ENSG00000005844.17	11	4	10	4	27	22	23	45
ENSG00000005882.11	36	45	51	5	194	152	172	303
ENSG00000005884.17	68	79	183	16	566	219	289	666
ENSG00000005889.15	123	120	162	14	643	405	497	892
ENSG00000005893.15	62	48	181	5	993	454	461	1055
ENSG00000005961.17	7	11	8	6	9	0	4	30
ENSG00000005981.12	1	1	1	11	2	3	5	0
