"gene_id"	"gene_symbol"	"length"	"gc"
"ENSMUSG00000000001"	"Gnai3"	3262	0.435009196811772
"ENSMUSG00000000028"	"Cdc45"	3506	0.496292070735881
"ENSMUSG00000000031"	"H19"	2460	0.553252032520325
"ENSMUSG00000000037"	"Scml2"	6397	0.437705174300453
"ENSMUSG00000000049"	"Apoh"	1594	0.505018820577164
"ENSMUSG00000000056"	"Narf"	4806	0.488555971702039
"ENSMUSG00000000058"	"Cav2"	3335	0.392503748125937
"ENSMUSG00000000078"	"Klf6"	4391	0.424504668640401
"ENSMUSG00000000085"	"Scmh1"	7731	0.463200103479498
"ENSMUSG00000000088"	"Cox5a"	2101	0.414088529271775
"ENSMUSG00000000093"	"Tbx2"	3626	0.632377275234418
"ENSMUSG00000000120"	"Ngfr"	3446	0.567904817179338
"ENSMUSG00000000126"	"Wnt9a"	3329	0.563232201862421
"ENSMUSG00000000127"	"Fer"	4680	0.441452991452991
"ENSMUSG00000000131"	"Xpo6"	16920	0.437234042553191
"ENSMUSG00000000134"	"Tfe3"	9261	0.525105280207321
"ENSMUSG00000000142"	"Axin2"	5506	0.563930257900472
"ENSMUSG00000000148"	"Brat1"	6179	0.549441657226088
"ENSMUSG00000000149"	"Gna12"	3416	0.505269320843091
"ENSMUSG00000000167"	"Pih1d2"	2813	0.45929612513331
"ENSMUSG00000000168"	"Dlat"	4886	0.471756037658616
"ENSMUSG00000000171"	"Sdhd"	1231	0.456539398862713
"ENSMUSG00000000184"	"Ccnd2"	9409	0.502391327452439
"ENSMUSG00000000194"	"Gpr107"	12766	0.494595018016607
"ENSMUSG00000000202"	"Btbd17"	3187	0.533417006589269
"ENSMUSG00000000204"	"Slfn4"	3964	0.437436932391524
"ENSMUSG00000000223"	"Drp2"	8553	0.487431310651233
"ENSMUSG00000000244"	"Tspan32"	6234	0.536734039140199
"ENSMUSG00000000247"	"Lhx2"	4393	0.597086273617118
"ENSMUSG00000000253"	"Gmpr"	2323	0.559621179509255
"ENSMUSG00000000266"	"Mid2"	8114	0.416070988415085
"ENSMUSG00000000275"	"Trim25"	5754	0.499478623566215
"ENSMUSG00000000276"	"Dgke"	8387	0.440443543579349
"ENSMUSG00000000278"	"Scpep1"	2097	0.476394849785408
"ENSMUSG00000000282"	"Mnt"	4627	0.593689215474389
"ENSMUSG00000000290"	"Itgb2"	3052	0.532437745740498
"ENSMUSG00000000295"	"Hddc2"	3508	0.451539338654504
"ENSMUSG00000000296"	"Tpd52l1"	1323	0.486772486772487
"ENSMUSG00000000301"	"Pemt"	2104	0.510931558935361
"ENSMUSG00000000303"	"Cdh1"	4574	0.510712724092698
"ENSMUSG00000000308"	"Ckmt1"	2496	0.521634615384615
"ENSMUSG00000000318"	"Clec10a"	2899	0.503621938599517
"ENSMUSG00000000320"	"Alox12"	4085	0.508200734394125
"ENSMUSG00000000325"	"Arvcf"	6715	0.582576321667908
"ENSMUSG00000000326"	"Comt"	2532	0.507109004739337
"ENSMUSG00000000339"	"Rtca"	1880	0.48031914893617
"ENSMUSG00000000340"	"Dbt"	3348	0.419354838709677
"ENSMUSG00000000346"	"Dazap2"	2900	0.532758620689655
"ENSMUSG00000000355"	"Mcts1"	1571	0.398472310630172
"ENSMUSG00000000359"	"Rem1"	2156	0.571428571428571
"ENSMUSG00000000374"	"Trappc10"	8128	0.482652559055118
"ENSMUSG00000000378"	"Ccm2"	3666	0.545553737043099
"ENSMUSG00000000384"	"Tbrg4"	3696	0.516504329004329
"ENSMUSG00000000385"	"Tmprss2"	7302	0.490002738975623
"ENSMUSG00000000386"	"Mx1"	3785	0.474240422721268
"ENSMUSG00000000392"	"Fap"	5662	0.396149770399152
"ENSMUSG00000000399"	"Ndufa9"	2101	0.481675392670157
"ENSMUSG00000000402"	"Egfl6"	2704	0.474112426035503
"ENSMUSG00000000409"	"Lck"	2929	0.499146466370775
"ENSMUSG00000000420"	"Galnt1"	5519	0.46077187896358
"ENSMUSG00000000439"	"Mkrn2"	7005	0.472234118486795
"ENSMUSG00000000440"	"Pparg"	2953	0.480528276329157
"ENSMUSG00000000441"	"Raf1"	6845	0.463842220598977
"ENSMUSG00000000486"	"Sept1"	2763	0.517553384002895
"ENSMUSG00000000489"	"Pdgfb"	4161	0.57438115837539
"ENSMUSG00000000530"	"Acvrl1"	4265	0.558968347010551
"ENSMUSG00000000531"	"Grasp"	2033	0.620265617314314
"ENSMUSG00000000532"	"Acvr1b"	4418	0.534631054775917
"ENSMUSG00000000538"	"Tom1l2"	8764	0.465769055225924
"ENSMUSG00000000544"	"Gpa33"	2742	0.530999270605397
"ENSMUSG00000000552"	"Zfp385a"	2515	0.565009940357853
"ENSMUSG00000000555"	"Itga5"	4933	0.552199472937361
"ENSMUSG00000000561"	"Wdr77"	4841	0.460855195207602
"ENSMUSG00000000563"	"Atp5f1"	4105	0.445797807551766
"ENSMUSG00000000567"	"Sox9"	4135	0.492623941958888
"ENSMUSG00000000568"	"Hnrnpd"	7354	0.420723415828121
"ENSMUSG00000000579"	"Dynlt1c"	3777	0.485041037860736
"ENSMUSG00000000581"	"C1d"	3995	0.373466833541927
"ENSMUSG00000000594"	"Gm2a"	4127	0.484128907196511
"ENSMUSG00000000600"	"Krit1"	21853	0.361323388093168
"ENSMUSG00000000605"	"Clcn4"	8575	0.465189504373178
"ENSMUSG00000000627"	"Sema4f"	5290	0.488468809073724
"ENSMUSG00000000628"	"Hk2"	5969	0.496900653375775
"ENSMUSG00000000631"	"Myo18a"	16037	0.568684916131446
"ENSMUSG00000000686"	"Abhd15"	3035	0.564415156507414
"ENSMUSG00000000690"	"Hoxb6"	1964	0.54938900203666
"ENSMUSG00000000693"	"Loxl3"	4603	0.536823810558332
"ENSMUSG00000000708"	"Kat2b"	4867	0.463324429833573
"ENSMUSG00000000711"	"Rab5b"	4201	0.448940728398
"ENSMUSG00000000730"	"Dnmt3l"	2988	0.534471218206158
"ENSMUSG00000000731"	"Aire"	3825	0.536732026143791
"ENSMUSG00000000732"	"Icosl"	4620	0.513852813852814
"ENSMUSG00000000738"	"Spg7"	4518	0.541168658698539
"ENSMUSG00000000739"	"Sult5a1"	4419	0.525684544014483
"ENSMUSG00000000740"	"Rpl13"	2595	0.5252408477842
"ENSMUSG00000000743"	"Chmp1a"	3272	0.529645476772616
"ENSMUSG00000000751"	"Rpa1"	5578	0.440839010397992
"ENSMUSG00000000753"	"Serpinf1"	2359	0.518440016956337
"ENSMUSG00000000759"	"Tubgcp3"	8568	0.47875816993464
"ENSMUSG00000000776"	"Polr3d"	2854	0.515066573230554
"ENSMUSG00000000782"	"Tcf7"	3019	0.555813183173236
"ENSMUSG00000000787"	"Ddx3x"	5277	0.401174909986735
"ENSMUSG00000000791"	"Il12rb1"	4105	0.56857490864799
"ENSMUSG00000000792"	"Slc5a5"	2928	0.564549180327869
"ENSMUSG00000000804"	"Usp32"	7680	0.425520833333333
"ENSMUSG00000000811"	"Txnrd3"	2836	0.522919605077574
"ENSMUSG00000000823"	"Zfp512b"	6810	0.539794419970631
"ENSMUSG00000000826"	"Dnajc5"	6953	0.495469581475622
"ENSMUSG00000000827"	"Tpd52l2"	4982	0.454837414692894
"ENSMUSG00000000838"	"Fmr1"	8966	0.367945572161499
"ENSMUSG00000000876"	"Pxmp4"	3114	0.480732177263969
"ENSMUSG00000000881"	"Dlg3"	5844	0.523271731690623
"ENSMUSG00000000884"	"Gnb1l"	4219	0.554159753496089
"ENSMUSG00000000901"	"Mmp11"	2778	0.590352771778258
"ENSMUSG00000000902"	"Smarcb1"	7930	0.487641866330391
"ENSMUSG00000000915"	"Hip1r"	7369	0.569140996064595
"ENSMUSG00000000916"	"Nsun5"	4317	0.523048413249942
"ENSMUSG00000000934"	"Top1mt"	2043	0.556534508076358
"ENSMUSG00000000938"	"Hoxa10"	3270	0.448929663608563
"ENSMUSG00000000942"	"Hoxa4"	1594	0.579673776662484
"ENSMUSG00000000957"	"Mmp14"	5960	0.557214765100671
"ENSMUSG00000000958"	"Slc7a7"	3315	0.507692307692308
"ENSMUSG00000000959"	"Oxa1l"	4457	0.515369082342383
"ENSMUSG00000000976"	"Heatr6"	6419	0.505530456457392
"ENSMUSG00000000983"	"Wfdc18"	1220	0.457377049180328
"ENSMUSG00000001014"	"Icam4"	1110	0.58018018018018
"ENSMUSG00000001016"	"Ilf2"	8580	0.437296037296037
"ENSMUSG00000001017"	"Chtop"	3637	0.451196040692879
"ENSMUSG00000001018"	"Snapin"	2290	0.460698689956332
"ENSMUSG00000001020"	"S100a4"	584	0.491438356164384
"ENSMUSG00000001021"	"S100a3"	2670	0.540074906367041
"ENSMUSG00000001023"	"S100a5"	432	0.486111111111111
"ENSMUSG00000001025"	"S100a6"	1367	0.538405267008047
"ENSMUSG00000001027"	"Scn4a"	7041	0.503905695213748
"ENSMUSG00000001034"	"Mapk7"	4394	0.540964952207556
"ENSMUSG00000001036"	"Epn2"	5228	0.471308339709258
"ENSMUSG00000001039"	"B9d1"	1593	0.524795982423101
"ENSMUSG00000001052"	"Sec24b"	6020	0.483222591362126
"ENSMUSG00000001053"	"N4bp3"	2728	0.560483870967742
"ENSMUSG00000001054"	"Rmnd5b"	2161	0.525682554372976
"ENSMUSG00000001056"	"Nhp2"	1146	0.555846422338569
"ENSMUSG00000001062"	"Vps9d1"	5153	0.560644284882593
"ENSMUSG00000001065"	"Zfp276"	5530	0.578119349005425
"ENSMUSG00000001076"	"C1ql4"	1474	0.599050203527815
"ENSMUSG00000001082"	"Mfsd10"	2894	0.58465791292329
"ENSMUSG00000001089"	"Luzp1"	8112	0.474975345167653
"ENSMUSG00000001098"	"Kctd10"	4039	0.525129982668977
"ENSMUSG00000001100"	"Poldip2"	3783	0.536875495638382
"ENSMUSG00000001105"	"Ift20"	1525	0.482622950819672
"ENSMUSG00000001119"	"Col6a1"	4380	0.55296803652968
"ENSMUSG00000001120"	"Pcbp3"	2933	0.479031708148653
"ENSMUSG00000001123"	"Lgals9"	2137	0.479644361254094
"ENSMUSG00000001127"	"Araf"	6541	0.476073994802018
"ENSMUSG00000001128"	"Cfp"	1736	0.503456221198157
"ENSMUSG00000001131"	"Timp1"	888	0.529279279279279
"ENSMUSG00000001134"	"Uxt"	1639	0.422208663819402
"ENSMUSG00000001138"	"Cnnm3"	6420	0.561059190031153
"ENSMUSG00000001143"	"Lman2l"	7359	0.486750917244191
"ENSMUSG00000001150"	"Mcm3ap"	7197	0.524385160483535
