"gene_id"	"gene_symbol"	"length"	"gc"
"ENSG00000000003"	"TSPAN6"	4536	0.399250440917108
"ENSG00000000005"	"TNMD"	1476	0.424119241192412
"ENSG00000000419"	"DPM1"	1207	0.415907207953604
"ENSG00000000457"	"SCYL3"	6883	0.41173906726718
"ENSG00000000460"	"C1orf112"	5970	0.429815745393635
"ENSG00000000938"	"FGR"	3382	0.564458900059137
"ENSG00000000971"	"CFH"	8145	0.361448741559239
"ENSG00000001036"	"FUCA2"	2822	0.430900070871722
"ENSG00000001084"	"GCLC"	8618	0.393362729171502
"ENSG00000001167"	"NFYA"	3811	0.450013119916033
"ENSG00000001460"	"STPG1"	8511	0.484431911643755
"ENSG00000001461"	"NIPAL3"	9396	0.469029374201788
"ENSG00000001497"	"LAS1L"	5589	0.51207729468599
"ENSG00000001561"	"ENPP4"	4644	0.344315245478036
"ENSG00000001617"	"SEMA3F"	4826	0.628056361375881
"ENSG00000001626"	"CFTR"	9343	0.408862249812694
"ENSG00000001629"	"ANKIB1"	7389	0.420625253755583
"ENSG00000001630"	"CYP51A1"	3529	0.48200623406064
"ENSG00000001631"	"KRIT1"	6204	0.377176015473888
"ENSG00000002016"	"RAD52"	4503	0.438374417055296
"ENSG00000002079"	"MYH16"	6307	0.535436816235928
"ENSG00000002330"	"BAD"	1708	0.599531615925059
"ENSG00000002549"	"LAP3"	3785	0.449405548216645
"ENSG00000002586"	"CD99"	4858	0.499382461918485
"ENSG00000002587"	"HS3ST1"	7435	0.485137861466039
"ENSG00000002726"	"AOC1"	3824	0.586558577405858
"ENSG00000002745"	"WNT16"	3264	0.418811274509804
"ENSG00000002746"	"HECW1"	13935	0.477646214567635
"ENSG00000002822"	"MAD1L1"	7230	0.558091286307054
"ENSG00000002834"	"LASP1"	7061	0.573573148279281
"ENSG00000002919"	"SNX11"	3606	0.507487520798669
"ENSG00000002933"	"TMEM176A"	3477	0.57578372159908
"ENSG00000003056"	"M6PR"	3585	0.429567642956764
"ENSG00000003096"	"KLHL13"	6983	0.429041959043391
"ENSG00000003137"	"CYP26B1"	5015	0.59740777666999
"ENSG00000003147"	"ICA1"	4883	0.460167929551505
"ENSG00000003249"	"DBNDD1"	4791	0.591734502191609
"ENSG00000003393"	"ALS2"	10438	0.393466181260778
"ENSG00000003400"	"CASP10"	7598	0.462226901816267
"ENSG00000003402"	"CFLAR"	22479	0.459895902842653
"ENSG00000003436"	"TFPI"	11714	0.416851630527574
"ENSG00000003509"	"NDUFAF7"	3651	0.422076143522323
"ENSG00000003756"	"RBM5"	10357	0.439509510476007
"ENSG00000003987"	"MTMR7"	6928	0.437788683602771
"ENSG00000003989"	"SLC7A2"	7905	0.416192283364959
"ENSG00000004059"	"ARF5"	1825	0.593972602739726
"ENSG00000004139"	"SARM1"	11105	0.554975236380009
"ENSG00000004142"	"POLDIP2"	2670	0.521348314606742
"ENSG00000004399"	"PLXND1"	9738	0.603101252823989
"ENSG00000004455"	"AK2"	9625	0.464519480519481
"ENSG00000004468"	"CD38"	6857	0.425550532302756
"ENSG00000004478"	"FKBP4"	5163	0.52527600232423
"ENSG00000004487"	"KDM1A"	5440	0.466727941176471
"ENSG00000004534"	"RBM6"	7299	0.469790382244143
"ENSG00000004660"	"CAMKK1"	7433	0.576483250369972
"ENSG00000004700"	"RECQL"	3779	0.411219899444297
"ENSG00000004766"	"VPS50"	9559	0.356418035359347
"ENSG00000004776"	"HSPB6"	1724	0.627030162412993
"ENSG00000004777"	"ARHGAP33"	5260	0.646768060836502
"ENSG00000004779"	"NDUFAB1"	1548	0.5
"ENSG00000004799"	"PDK4"	4544	0.373679577464789
"ENSG00000004809"	"SLC22A16"	3907	0.444842590222677
"ENSG00000004838"	"ZMYND10"	2889	0.578054690204223
"ENSG00000004846"	"ABCB5"	9257	0.408015555795614
"ENSG00000004848"	"ARX"	3114	0.552986512524085
"ENSG00000004864"	"SLC25A13"	3710	0.454177897574124
"ENSG00000004866"	"ST7"	6742	0.450756452091368
"ENSG00000004897"	"CDC27"	6824	0.390093786635404
